Policy,Admittor,Hit rate,Weighted hit rate
sampled.Fifo,Secondary,1.92%,0.39%
sampled.Fifo,TinyLfu,1.88%,0.43%
sampled.Random,Secondary,1.82%,0.35%
sampled.Random,TinyLfu,1.74%,0.37%
sampled.Hyperbolic,Secondary,1.71%,0.28%
sampled.Lfu,TinyLfu,1.71%,0.39%
sampled.Lfu,Secondary,1.7%,0.32%
sampled.Hyperbolic,TinyLfu,1.67%,0.38%
linked.Lfucostboost,TinyLfu,1.64%,0.25%
linked.Lfu,TinyLfu,1.64%,0.25%
