Policy,Percentage hit rate change,Percentage weighted hit rate change
sampled.Mfu_TinyLfuBoost,197.92999999999998,139.7566666666667
sampled.Mfu_TinyLfuMulti,197.92999999999998,139.7566666666667
sampled.Mru,0.0,0.0
sampled.Mru_Comparison,125.11,119.69
sampled.Mru_Secondary,0.0,0.0
sampled.Mru_Threshold15,0.0,0.0
sampled.Mru_TinyLfu,292.4066666666667,229.45000000000002
sampled.Mru_TinyLfuBoost,292.4066666666667,229.45000000000002
sampled.Mru_TinyLfuMulti,292.4066666666667,229.45000000000002
sampled.Random,0.0,0.0
sampled.Random_Comparison,43.123333333333335,11.003333333333332
sampled.Random_Secondary,0.0,0.0
sampled.Random_Threshold15,0.0,0.0
sampled.Random_TinyLfu,165.91333333333336,168.84333333333333
sampled.Random_TinyLfuBoost,165.91333333333336,168.84333333333333
sampled.Random_TinyLfuMulti,165.91333333333336,168.84333333333333
