,Policy,Hit rate,Weighted Hit Rate,Percentage hit rate change,Percentage weighted hit rate change
45,heap.Boost,0.37,0.03,0.0,0.0
38,heap.Boost_Comparison,0.37,0.03,0.0,0.0
56,heap.Boost_Secondary,0.36,0.03,-2.7,0.0
46,heap.Boost_Threshold15,0.37,0.03,0.0,0.0
58,heap.Boost_TinyLfu,0.36,0.03,-2.7,0.0
61,heap.Boost_TinyLfuBoost,0.36,0.03,-2.7,0.0
52,heap.Boost_TinyLfuMulti,0.36,0.03,-2.7,0.0
20,heap.None,0.37,0.03,0.0,0.0
5,heap.None_Comparison,0.39,0.03,5.41,0.0
50,heap.None_Secondary,0.37,0.03,0.0,0.0
21,heap.None_Threshold15,0.37,0.03,0.0,0.0
54,heap.None_TinyLfu,0.36,0.03,-2.7,0.0
59,heap.None_TinyLfuBoost,0.36,0.03,-2.7,0.0
10,heap.None_TinyLfuMulti,0.38,0.03,2.7,0.0
19,heap.One,0.37,0.03,0.0,0.0
6,heap.One_Comparison,0.39,0.03,5.41,0.0
49,heap.One_Secondary,0.37,0.03,0.0,0.0
22,heap.One_Threshold15,0.37,0.03,0.0,0.0
53,heap.One_TinyLfu,0.36,0.03,-2.7,0.0
60,heap.One_TinyLfuBoost,0.36,0.03,-2.7,0.0
11,heap.One_TinyLfuMulti,0.38,0.03,2.7,0.0
102,heap.Skip,0.26,0.02,0.0,0.0
47,heap.Skip_Comparison,0.37,0.03,42.31,50.0
51,heap.Skip_Secondary,0.36,0.03,38.46,50.0
97,heap.Skip_Threshold15,0.32,0.03,23.08,50.0
55,heap.Skip_TinyLfu,0.36,0.03,38.46,50.0
104,heap.Skip_TinyLfuBoost,0.23,0.02,-11.54,0.0
119,heap.Skip_TinyLfuMulti,0.03,0.0,-88.46,-100.0
80,linked.Clock,0.34,0.02,0.0,0.0
124,linked.Clock_Comparison,0.0,0.0,-100.0,-100.0
4,linked.Clock_Secondary,0.39,0.03,14.71,50.0
87,linked.Clock_Threshold15,0.33,0.02,-2.94,0.0
7,linked.Clock_TinyLfu,0.38,0.03,11.76,50.0
101,linked.Clock_TinyLfuBoost,0.26,0.02,-23.53,0.0
