Policy,Hit rate,Weighted hit rate,Weighted Hit Rate,Hit rate change,Percentage hit rate change,Weighted hit rate change,Percentage weighted hit rate change
linked.Mfu_Threshold15,16.33,"5,82",5.82,-0.38,-2.27%,-0.44,-7.03%
linked.Mfu_TinyLfu,18.37,"4,45",4.45,1.66,9.93%,-1.81,-28.91%
linked.Mfu_TinyLfuBoost,16.18,"4,29",4.29,-0.53,-3.17%,-1.97,-31.47%
linked.Mfu_TinyLfuMulti,0.12,"0,04",0.04,-16.59,-99.28%,-6.22,-99.36%
linked.Mru,8.48,"3,24",3.24,0.0,0.0%,0.0,0.0%
linked.Mru_Comparison,4.67,"1,79",1.79,-3.81,-44.93%,-1.45,-44.75%
linked.Mru_Secondary,4.01,"0,24",0.24,-4.47,-52.71%,-3.0,-92.59%
linked.Mru_Threshold15,8.59,"3,08",3.08,0.11,1.3%,-0.16,-4.94%
linked.Mru_TinyLfu,22.63,"5,46",5.46,14.15,166.86%,2.22,68.52%
linked.Mru_TinyLfuBoost,20.02,"5,14",5.14,11.54,136.08%,1.9,58.64%
linked.Mru_TinyLfuMulti,1.5,"0,42",0.42,-6.98,-82.31%,-2.82,-87.04%
