,Policy,Hit rate,Weighted Hit Rate,Percentage hit rate change,Percentage weighted hit rate change
129,heap.Boost,17.91,2.19,0.0,0.0
128,heap.Boost_Comparison,17.83,2.13,-0.45,-2.74
127,heap.Boost_Secondary,17.21,2.36,-3.91,7.76
126,heap.Boost_Threshold15,18.76,2.34,4.75,6.85
125,heap.Boost_TinyLfu,23.13,2.74,29.15,25.11
124,heap.Boost_TinyLfuBoost,22.69,2.31,26.69,5.48
123,heap.Boost_TinyLfuMulti,14.38,1.75,-19.71,-20.09
122,heap.None,19.64,2.2,0.0,0.0
121,heap.None_Comparison,20.11,2.02,2.39,-8.18
120,heap.None_Secondary,17.21,2.36,-12.37,7.27
119,heap.None_Threshold15,20.03,2.29,1.99,4.09
118,heap.None_TinyLfu,23.13,2.74,17.77,24.55
117,heap.None_TinyLfuBoost,22.69,2.31,15.53,5.0
116,heap.None_TinyLfuMulti,14.38,1.75,-26.78,-20.45
115,heap.One,19.64,2.2,0.0,0.0
114,heap.One_Comparison,20.11,2.02,2.39,-8.18
113,heap.One_Secondary,17.21,2.36,-12.37,7.27
112,heap.One_Threshold15,20.03,2.29,1.99,4.09
111,heap.One_TinyLfu,23.13,2.74,17.77,24.55
110,heap.One_TinyLfuBoost,22.69,2.31,15.53,5.0
109,heap.One_TinyLfuMulti,14.38,1.75,-26.78,-20.45
108,heap.Skip,17.73,2.49,0.0,0.0
107,heap.Skip_Comparison,17.14,2.22,-3.33,-10.84
106,heap.Skip_Secondary,17.21,2.36,-2.93,-5.22
105,heap.Skip_Threshold15,17.49,2.32,-1.35,-6.83
104,heap.Skip_TinyLfu,23.13,2.74,30.46,10.04
103,heap.Skip_TinyLfuBoost,22.69,2.31,27.98,-7.23
102,heap.Skip_TinyLfuMulti,14.38,1.75,-18.89,-29.72
101,linked.Clock,3.61,0.63,0.0,0.0
100,linked.Clock_Comparison,7.1,1.11,96.68,76.19
99,linked.Clock_Secondary,23.23,2.04,543.49,223.81
98,linked.Clock_Threshold15,5.63,0.86,55.96,36.51
97,linked.Clock_TinyLfu,22.24,2.97,516.07,371.43
96,linked.Clock_TinyLfuBoost,13.12,2.54,263.43,303.17
95,linked.Clock_TinyLfuMulti,14.23,1.72,294.18,173.02
94,linked.Fifo,2.5,0.47,0.0,0.0
93,linked.Fifo_Comparison,4.09,0.68,63.6,44.68
92,linked.Fifo_Secondary,20.71,1.71,728.4,263.83
91,linked.Fifo_Threshold15,4.35,0.65,74.0,38.3
90,linked.Fifo_TinyLfu,14.37,2.47,474.8,425.53
89,linked.Fifo_TinyLfuBoost,12.37,2.19,394.8,365.96
88,linked.Fifo_TinyLfuMulti,11.4,1.69,356.0,259.57
87,linked.Lfu,9.57,1.33,0.0,0.0
86,linked.Lfu_Comparison,15.73,1.69,64.37,27.07
85,linked.Lfu_Secondary,24.09,2.85,151.72,114.29
84,linked.Lfu_Threshold15,19.71,1.95,105.96,46.62
83,linked.Lfu_TinyLfu,21.93,2.95,129.15,121.8
82,linked.Lfu_TinyLfuBoost,14.17,2.55,48.07,91.73
81,linked.Lfu_TinyLfuMulti,10.63,1.6,11.08,20.3
80,linked.Lfucostboost,12.04,1.74,0.0,0.0
79,linked.Lfucostboost_Comparison,16.1,1.72,33.72,-1.15
78,linked.Lfucostboost_Secondary,23.87,2.86,98.26,64.37
77,linked.Lfucostboost_Threshold15,17.04,1.9,41.53,9.2
76,linked.Lfucostboost_TinyLfu,21.89,2.95,81.81,69.54
75,linked.Lfucostboost_TinyLfuBoost,14.16,2.55,17.61,46.55
74,linked.Lfucostboost_TinyLfuMulti,10.16,1.58,-15.61,-9.2
73,linked.Lru,2.55,0.48,0.0,0.0
72,linked.Lru_Comparison,5.03,0.81,97.25,68.75
71,linked.Lru_Secondary,23.88,1.99,836.47,314.58
70,linked.Lru_Threshold15,4.33,0.68,69.8,41.67
69,linked.Lru_TinyLfu,22.23,2.97,771.76,518.75
68,linked.Lru_TinyLfuBoost,14.63,2.6,473.73,441.67
67,linked.Lru_TinyLfuMulti,8.7,1.34,241.18,179.17
66,linked.Mfu,2.43,0.45,0.0,0.0
65,linked.Mfu_Comparison,3.81,0.61,56.79,35.56
64,linked.Mfu_Secondary,14.61,0.65,501.23,44.44
63,linked.Mfu_Threshold15,4.26,0.64,75.31,42.22
62,linked.Mfu_TinyLfu,15.18,2.4,524.69,433.33
