Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Mru_TinyLfuMulti,"25,87",525203,1504742,2029945,1501598,"0,02",31163521536,"6,34","0,00","0,00",14042729,3118
linked.Lfucostboost,"25,73",522392,1507553,2029945,1504434,"100,00",31163521536,"9,24","0,00","0,00",2578856,878
heap.None_Secondary,"25,62",520122,1509823,2029945,1506685,"0,00",31163521536,"8,08","0,00","0,00",2033046,1347
heap.Skip_Secondary,"25,62",520122,1509823,2029945,1506685,"0,00",31163521536,"8,08","0,00","0,00",2033046,1492
heap.One_Secondary,"25,62",520122,1509823,2029945,1506685,"0,00",31163521536,"8,08","0,00","0,00",2033046,1403
sampled.Mru_TinyLfuBoost,"25,32",514017,1515928,2029945,1512794,"0,02",31163521536,"6,26","0,00","0,00",14132297,2854
linked.Lfucostboost_Comparison,"25,07",508995,1520950,2029945,1517839,"19,30",31163521536,"7,21","0,00","0,00",2112243,844
sampled.Random_TinyLfuBoost,"25,04",508203,1521742,2029945,1518631,"0,03",31163521536,"7,94","0,00","0,00",2029945,1649
heap.Boost_Secondary,"25,03",508130,1521815,2029945,1518682,"0,00",31163521536,"7,93","0,00","0,00",2033046,1792
linked.Clock_TinyLfuBoost,"24,84",504209,1525736,2029945,1522619,"0,01",31163521536,"7,94","0,00","0,00",2031035,1694
sampled.Hyperbolic_TinyLfuBoost,"24,81",503531,1526414,2029945,1523303,"0,03",31163521536,"8,12","0,00","0,00",14216369,3841
product.Guava,"24,20",491147,1538798,2029945,1538781,"100,00",31163521536,"7,59","0,00","0,00",,3667
heap.One_TinyLfuBoost,"24,02",487682,1542263,2029945,1539143,"0,00",31163521536,"6,89","0,00","0,00",2033046,1865
heap.None_TinyLfuBoost,"24,02",487682,1542263,2029945,1539143,"0,00",31163521536,"6,89","0,00","0,00",2033046,1826
heap.Boost_TinyLfuBoost,"23,76",482252,1547693,2029945,1544579,"0,00",31163521536,"6,93","0,00","0,00",2033046,1748
sampled.Hyperbolic_Threshold15,"23,25",471913,1558032,2029945,1554913,"100,00",31163521536,"7,87","0,00","0,00",14469249,3061
sampled.Hyperbolic,"23,25",471913,1558032,2029945,1554913,"100,00",31163521536,"7,87","0,00","0,00",14469249,2992
sampled.Hyperbolic_Secondary,"23,25",471913,1558032,2029945,1554913,"100,00",31163521536,"7,87","0,00","0,00",14469249,3658
heap.None_TinyLfu,"23,16",470120,1559825,2029945,1556705,"0,00",31163521536,"7,38","0,00","0,00",2033046,1611
heap.One_TinyLfu,"23,16",470120,1559825,2029945,1556705,"0,00",31163521536,"7,38","0,00","0,00",2033046,1297
heap.Skip_TinyLfu,"23,16",470120,1559825,2029945,1556705,"0,00",31163521536,"7,38","0,00","0,00",2033046,1399
heap.Boost_TinyLfu,"23,16",470120,1559825,2029945,1556705,"0,00",31163521536,"7,38","0,00","0,00",2033046,1540
heap.Skip_TinyLfuBoost,"22,77",462157,1567788,2029945,1564674,"0,00",31163521536,"6,55","0,00","0,00",2033046,1802
sampled.Mfu_TinyLfuBoost,"22,72",461267,1568678,2029945,1565563,"0,01",31163521536,"5,98","0,00","0,00",14554449,3319
heap.One_TinyLfuMulti,"22,68",460304,1569641,2029945,1566531,"0,74",31163521536,"7,17","0,00","0,00",2033046,1827
heap.None_TinyLfuMulti,"22,68",460304,1569641,2029945,1566531,"0,74",31163521536,"7,17","0,00","0,00",2033046,1615
linked.Mru_TinyLfu,"22,63",459286,1570659,2029945,1567525,"0,00",31163521536,"5,46","0,00","0,00",2029967,1518
linked.Fifo_Secondary,"22,56",457859,1572086,2029945,1568952,"0,00",31163521536,"5,87","0,00","0,00",2029952,1465
linked.Clock,"21,76",441700,1588245,2029945,1585127,"100,00",31163521536,"7,59","0,00","0,00",2938077,1006
heap.Boost_TinyLfuMulti,"21,66",439762,1590183,2029945,1587073,"0,64",31163521536,"7,05","0,00","0,00",2033046,1807
linked.Clock_Threshold15,"21,52",436887,1593058,2029945,1589940,"85,58",31163521536,"7,24","0,00","0,00",2836481,1682
linked.Fifo_TinyLfuBoost,"20,50",416160,1613785,2029945,1610667,"0,00",31163521536,"5,18","0,00","0,00",2029985,1474
linked.Lru,"20,44",414948,1614997,2029945,1611881,"100,00",31163521536,"7,23","0,00","0,00",2648967,776
product.ElasticSearch,"20,42",414609,1615336,2029945,1615321,"100,00",31163521536,"7,23","0,00","0,00",,4270
linked.Lru_Threshold15,"20,37",413518,1616427,2029945,1613311,"85,61",31163521536,"6,90","0,00","0,00",2571371,1432
sampled.Lru_Secondary,"20,33",412713,1617232,2029945,1614117,"100,00",31163521536,"7,20","0,00","0,00",14942881,3957
sampled.Lru_Threshold15,"20,33",412713,1617232,2029945,1614117,"100,00",31163521536,"7,20","0,00","0,00",14942881,2701
sampled.Lru,"20,33",412713,1617232,2029945,1614117,"100,00",31163521536,"7,20","0,00","0,00",14942881,3281
linked.Mru_TinyLfuBoost,"20,02",406381,1623564,2029945,1620431,"0,01",31163521536,"5,14","0,00","0,00",2030078,1631
linked.Fifo_TinyLfu,"19,40",393851,1636094,2029945,1632969,"0,00",31163521536,"4,70","0,00","0,00",2029948,1452
linked.Clock_Comparison,"19,26",390911,1639034,2029945,1635925,"24,90",31163521536,"5,20","0,00","0,00",2340198,845
sampled.Random_Threshold15,"18,45",374440,1655505,2029945,1652389,"100,00",31163521536,"6,37","0,00","0,00",2029945,1111
sampled.Random_Secondary,"18,45",374440,1655505,2029945,1652389,"100,00",31163521536,"6,37","0,00","0,00",2029945,1322
sampled.Random,"18,45",374440,1655505,2029945,1652389,"100,00",31163521536,"6,37","0,00","0,00",2029945,1115
sampled.Mfu_Comparison,"18,37",372936,1657009,2029945,1653887,"100,00",31163521536,"4,45","0,00","0,00",15261041,2614
sampled.Fifo_Comparison,"18,37",372936,1657009,2029945,1653887,"100,00",31163521536,"4,45","0,00","0,00",15261041,3757
sampled.Lfu_Comparison,"18,37",372936,1657009,2029945,1653887,"100,00",31163521536,"4,45","0,00","0,00",15261041,2929
linked.Mfu_TinyLfu,"18,37",372936,1657009,2029945,1653887,"0,00",31163521536,"4,45","0,00","0,00",2033067,1571
sampled.Mru_Comparison,"18,37",372936,1657009,2029945,1653887,"100,00",31163521536,"4,45","0,00","0,00",15261041,2704
sampled.Lru_Comparison,"18,37",372936,1657009,2029945,1653887,"100,00",31163521536,"4,45","0,00","0,00",15261041,2699
sampled.Hyperbolic_Comparison,"18,37",372936,1657009,2029945,1653887,"100,00",31163521536,"4,45","0,00","0,00",15261041,3389
sampled.Random_Comparison,"18,37",372936,1657009,2029945,1653887,"100,00",31163521536,"4,45","0,00","0,00",2029945,1195
sampled.Fifo,"17,72",359661,1670284,2029945,1667168,"100,00",31163521536,"6,50","0,00","0,00",15367289,3191
sampled.Fifo_Threshold15,"17,72",359661,1670284,2029945,1667168,"100,00",31163521536,"6,50","0,00","0,00",15367289,3052
sampled.Fifo_Secondary,"17,72",359661,1670284,2029945,1667168,"100,00",31163521536,"6,50","0,00","0,00",15367289,3277
linked.Fifo,"17,71",359542,1670403,2029945,1667287,"100,00",31163521536,"6,49","0,00","0,00",2665356,852
heap.Skip_TinyLfuMulti,"17,49",354966,1674979,2029945,1671871,"0,10",31163521536,"4,80","0,00","0,00",2033046,1628
linked.Lru_Comparison,"17,48",354886,1675059,2029945,1671950,"23,86",31163521536,"4,59","0,00","0,00",2196062,749
linked.Fifo_Threshold15,"17,48",354844,1675101,2029945,1671985,"85,62",31163521536,"6,12","0,00","0,00",2585544,1650
linked.Lfu_TinyLfuMulti,"17,41",353429,1676516,2029945,1673404,"1,07",31163521536,"4,46","0,00","0,00",2050378,1762
linked.Lfucostboost_TinyLfuMulti,"16,85",342081,1687864,2029945,1684755,"4,69",31163521536,"4,47","0,00","0,00",2110101,1776
linked.Mfu,"16,71",339133,1690812,2029945,1687696,"100,00",31163521536,"6,26","0,00","0,00",2667457,1066
sampled.Mfu_Secondary,"16,34",331790,1698155,2029945,1695039,"100,00",31163521536,"5,88","0,00","0,00",15590257,2870
sampled.Mfu_Threshold15,"16,34",331790,1698155,2029945,1695039,"100,00",31163521536,"5,88","0,00","0,00",15590257,2963
sampled.Mfu,"16,34",331790,1698155,2029945,1695039,"100,00",31163521536,"5,88","0,00","0,00",15590257,2855
linked.Mfu_Threshold15,"16,33",331477,1698468,2029945,1695352,"85,62",31163521536,"5,82","0,00","0,00",2590366,1987
linked.Mfu_TinyLfuBoost,"16,18",328472,1701473,2029945,1698362,"0,00",31163521536,"4,29","0,00","0,00",2033083,1554
linked.Fifo_Comparison,"11,26",228650,1801295,2029945,1798186,"24,16",31163521536,"3,02","0,00","0,00",2215123,852
sampled.Mru,"8,94",181430,1848515,2029945,1845395,"100,00",31163521536,"2,59","0,00","0,00",16793105,3219
sampled.Mru_Threshold15,"8,94",181430,1848515,2029945,1845395,"100,00",31163521536,"2,59","0,00","0,00",16793105,2798
sampled.Mru_Secondary,"8,94",181430,1848515,2029945,1845395,"100,00",31163521536,"2,59","0,00","0,00",16793105,3947
linked.Mru_Threshold15,"8,59",174309,1855636,2029945,1852517,"85,53",31163521536,"3,08","0,00","0,00",2575314,2119
linked.Mru,"8,48",172091,1857854,2029945,1854735,"100,00",31163521536,"3,24","0,00","0,00",2657289,895
linked.Mfu_Comparison,"7,32",148663,1881282,2029945,1878167,"27,10",31163521536,"2,13","0,00","0,00",2269710,1066
linked.Mfu_Secondary,"6,06",123085,1906860,2029945,1903734,"0,00",31163521536,"1,09","0,00","0,00",2033071,1421
linked.Mru_Comparison,"4,67",94892,1935053,2029945,1931944,"43,36",31163521536,"1,79","0,00","0,00",2509280,801
linked.Mru_Secondary,"4,01",81482,1948463,2029945,1945242,"0,02",31163521536,"0,24","0,00","0,00",2030310,1739
linked.Clock_TinyLfuMulti,"2,67",54207,1975738,2029945,1972631,"0,02",31163521536,"0,61","0,00","0,00",2031552,1751
linked.Lru_TinyLfuMulti,"2,11",42748,1987197,2029945,1984089,"0,03",31163521536,"0,45","0,00","0,00",2030547,1550
linked.Mru_TinyLfuMulti,"1,50",30411,1999534,2029945,1996429,"14,07",31163521536,"0,42","0,00","0,00",2277954,1703
linked.Fifo_TinyLfuMulti,"1,23",24876,2005069,2029945,2001963,"0,01",31163521536,"0,27","0,00","0,00",2030093,1508
linked.Mfu_TinyLfuMulti,"0,12",2493,2027452,2029945,2024346,"0,05",31163521536,"0,04","0,00","0,00",2034013,1569
