linked.Clock_ThresholdAdmittor7,"32,37",392054,818980,1211034,818798,"71,09",11403751424,"16,22","0,00","0,00",1700375,1839
linked.Fifo_ThresholdAdmittor7,"26,52",321178,889856,1211034,889675,"71,18",11403751424,"13,66","0,00","0,00",1501042,1979
linked.Lfu_ThresholdAdmittor7,"45,13",546434,664433,1210867,664410,"70,91",11362803712,"21,41","0,00","0,00",1407940,1324
linked.Lru_ThresholdAdmittor7,"31,48",381174,829860,1211034,829679,"71,16",11403751424,"15,82","0,00","0,00",1483380,2020
linked.Mfu_ThresholdAdmittor7,"24,78",300106,910761,1210867,910748,"71,22",11362803712,"12,93","0,00","0,00",1502572,1669
linked.Mru_ThresholdAdmittor7,"12,92",156422,1054612,1211034,1054424,"71,10",11403751424,"6,83","0,00","0,00",1494055,2267
sampled.Fifo_ThresholdAdmittor7,"28,33",343015,867852,1210867,867837,"100,00",11362803712,"15,68","0,00","0,00",8153730,2888
sampled.Hyperbolic_ThresholdAdmittor7,"35,91",434867,776000,1210867,775981,"100,00",11362803712,"18,17","0,00","0,00",7418882,2869
sampled.Lfu_ThresholdAdmittor7,"42,00",508555,702312,1210867,702292,"100,00",11362803712,"20,78","0,00","0,00",6829370,2464
sampled.Lru_ThresholdAdmittor7,"32,74",396468,814399,1210867,814385,"100,00",11362803712,"17,59","0,00","0,00",7726114,2515
sampled.Mfu_ThresholdAdmittor7,"25,58",309706,901161,1210867,901149,"100,00",11362803712,"13,81","0,00","0,00",8420226,2861
sampled.Mru_ThresholdAdmittor7,"17,86",216312,994555,1210867,994538,"100,00",11362803712,"8,35","0,00","0,00",9167338,3051
sampled.Random_ThresholdAdmittor7,"28,77",348377,862490,1210867,862468,"100,00",11362803712,"15,07","0,00","0,00",1211034,1381
